pathway,outcome,all_rows,all_trials,core_screen_rows,core_screen_trials,descriptive_rows,descriptive_trials
biochar_return,CH4,28,4,28,4,24,3
biochar_return,GHGI,42,2,42,2,42,2
biochar_return,GWP,42,2,42,2,42,2
biochar_return,N2O,28,4,28,4,24,3
biochar_return,SOC,40,7,38,6,38,6
biochar_return,yield,48,7,48,7,44,6
direct_return,CH4,18,4,2,1,2,1
direct_return,GHGI,30,5,14,2,14,2
direct_return,GWP,30,5,14,2,14,2
direct_return,N2O,26,5,8,2,8,2
direct_return,SOC,50,10,42,8,42,8
direct_return,yield,62,13,41,9,41,9
open_burning,CH4,9,4,6,2,6,2
open_burning,GHGI,4,1,4,1,4,1
open_burning,GWP,5,2,5,2,5,2
open_burning,N2O,8,3,6,2,6,2
open_burning,SOC,13,7,11,6,11,6
open_burning,SOC_sequestration_rate,1,1,1,1,1,1
open_burning,net_GWP_SOC_adjusted,1,1,1,1,1,1
open_burning,yield,25,12,20,9,20,9
