pathway,outcome,soc_kind,trials,effects,positive,negative,median_trial_percent,min_trial_percent,max_trial_percent
biochar_return,CH4,not_SOC,3,24,2,1,13.053913933079725,-19.320336041034103,66.20851126761531
biochar_return,GHGI,not_SOC,2,42,1,1,-16.38698955846255,-30.561900352659855,0.6815501951089038
biochar_return,GWP,not_SOC,2,42,1,1,-9.306991917743966,-26.49481424123124,11.899883390566563
biochar_return,N2O,not_SOC,3,24,1,2,-0.28028332551621954,-24.413649387654093,38.51094174208718
biochar_return,SOC,SOC_concentration,5,36,5,0,15.403132910023306,4.531187540790158,160.21654918789037
biochar_return,SOC,total_C_not_resolved_as_SOC,1,2,1,0,21.90869414511434,21.90869414511434,21.90869414511434
biochar_return,yield,not_SOC,6,44,5,1,7.792884664798522,-1.6052846480116778,12.784703748648935
direct_return,CH4,not_SOC,1,2,1,0,238.82490351468596,238.82490351468596,238.82490351468596
direct_return,GHGI,not_SOC,2,14,2,0,49.773294499141095,5.915315318860139,111.7922198276458
direct_return,GWP,not_SOC,2,14,2,0,54.56058702701119,11.483705009540474,114.2822133520764
direct_return,N2O,not_SOC,2,8,2,0,57.53393626556471,53.8890666387946,61.26513479721627
direct_return,SOC,SOC_concentration,6,38,6,0,10.690018303751387,2.8767812765641483,36.56770456189655
direct_return,SOC,SOM_proxy,1,2,1,0,12.635005023130772,12.635005023130772,12.635005023130772
direct_return,SOC,total_C_not_resolved_as_SOC,1,2,1,0,4.788232343254086,4.788232343254086,4.788232343254086
direct_return,yield,not_SOC,9,41,8,1,4.935026263017487,-5.380750638407148,14.830953737385885
open_burning,CH4,not_SOC,2,6,1,1,-4.0025112602985535,-13.902940286068738,7.036382832919832
open_burning,GHGI,not_SOC,1,4,0,1,-6.200366849301614,-6.200366849301614,-6.200366849301614
open_burning,GWP,not_SOC,2,5,1,1,0.029877360622080608,-7.085292142374796,7.689908255573731
open_burning,N2O,not_SOC,2,6,1,1,23.849572814481846,-6.8001702039380785,64.57880577564923
open_burning,SOC,SOC_concentration,5,9,5,0,3.125000000004776,0.2638040477979665,10.204081632647796
open_burning,SOC,SOM_proxy,1,2,0,1,-1.6101642396184082,-1.6101642396184082,-1.6101642396184082
open_burning,SOC_sequestration_rate,not_SOC,1,1,0,1,-38.000000000000014,-38.000000000000014,-38.000000000000014
open_burning,net_GWP_SOC_adjusted,not_SOC,1,1,1,0,44.71830985915079,44.71830985915079,44.71830985915079
open_burning,yield,not_SOC,9,20,7,2,3.719171265196887,-5.416078984485253,15.37783203470803
