study_id,screen_exclusion,identity_exclusion,rows,outcomes,doi,effect_ids
biochar_li2024SD_176,,arm_label_missing,12,CH4|N2O|yield,10.1016/j.atmosenv.2018.12.003,BiocharDS_v1_row_01259_CH4|BiocharDS_v1_row_01259_CropYield|BiocharDS_v1_row_01259_N2O|BiocharDS_v1_row_01260_CH4|BiocharDS_v1_row_01260_CropYield|BiocharDS_v1_row_01260_N2O|BiocharDS_v1_row_01262_CH4|BiocharDS_v1_row_01262_CropYield|BiocharDS_v1_row_01262_N2O|BiocharDS_v1_row_01263_CH4|BiocharDS_v1_row_01263_CropYield|BiocharDS_v1_row_01263_N2O
biochar_li2024SD_176,variance_origin_unresolved,arm_label_missing,2,SOC,10.1016/j.atmosenv.2018.12.003,BiocharDS_v1_row_01262_SOC|BiocharDS_v1_row_01263_SOC
huang_shangzhuang_2006_2013,large_relative_se_lnrr_delta_approx,,2,N2O,10.5194/bg-10-7897-2013,huang_shangzhuang_2006_2013_N2O_N0_maize_2011|huang_shangzhuang_2006_2013_N2O_Ncon_wheat_2011_2012
mbah_nneji_agbani_2007_2008,land_clearing_residue_not_harvest_straw,crop_label_missing,12,SOC|yield,10.5897/AJAR09.746,mbah_nneji_direct_return_sai_vs_control_SOC_2007|mbah_nneji_direct_return_sai_vs_control_SOC_2008|mbah_nneji_direct_return_sai_vs_control_yield_2007|mbah_nneji_direct_return_sai_vs_control_yield_2008|mbah_nneji_direct_return_sm_vs_control_SOC_2007|mbah_nneji_direct_return_sm_vs_control_SOC_2008|mbah_nneji_direct_return_sm_vs_control_yield_2007|mbah_nneji_direct_return_sm_vs_control_yield_2008|mbah_nneji_open_burning_bai_vs_control_SOC_2007|mbah_nneji_open_burning_bai_vs_control_SOC_2008|mbah_nneji_open_burning_bai_vs_control_yield_2007|mbah_nneji_open_burning_bai_vs_control_yield_2008
rice_primary_140,primary_non_yield_arm_and_value_recheck,arm_label_missing;crop_label_missing,12,CH4|GHGI|GWP|N2O,10.3390/agronomy13030880,rice_primary_rice_ext_pair_0013_CH4|rice_primary_rice_ext_pair_0013_GHGI|rice_primary_rice_ext_pair_0013_GWP|rice_primary_rice_ext_pair_0013_N2O|rice_primary_rice_ext_pair_0014_CH4|rice_primary_rice_ext_pair_0014_GHGI|rice_primary_rice_ext_pair_0014_GWP|rice_primary_rice_ext_pair_0014_N2O|rice_primary_rice_ext_pair_0015_CH4|rice_primary_rice_ext_pair_0015_GHGI|rice_primary_rice_ext_pair_0015_GWP|rice_primary_rice_ext_pair_0015_N2O
rice_primary_392,reported_error_type_ambiguous,,2,CH4|yield,10.1007/s11104-008-9689-y,rice_primary_rice_ext_pair_0133_CH4|rice_primary_rice_ext_pair_0133_yield
rice_primary_466,reported_error_type_ambiguous,arm_label_missing;crop_label_missing,45,CH4|GHGI|GWP|N2O|yield,10.3390/agronomy14030490,rice_primary_rice_ext_pair_0075_CH4|rice_primary_rice_ext_pair_0075_GHGI|rice_primary_rice_ext_pair_0075_GWP|rice_primary_rice_ext_pair_0075_N2O|rice_primary_rice_ext_pair_0075_yield|rice_primary_rice_ext_pair_0076_CH4|rice_primary_rice_ext_pair_0076_GHGI|rice_primary_rice_ext_pair_0076_GWP|rice_primary_rice_ext_pair_0076_N2O|rice_primary_rice_ext_pair_0076_yield|rice_primary_rice_ext_pair_0077_CH4|rice_primary_rice_ext_pair_0077_GHGI|rice_primary_rice_ext_pair_0077_GWP|rice_primary_rice_ext_pair_0077_N2O|rice_primary_rice_ext_pair_0077_yield|rice_primary_rice_ext_pair_0078_CH4|rice_primary_rice_ext_pair_0078_GHGI|rice_primary_rice_ext_pair_0078_GWP|rice_primary_rice_ext_pair_0078_N2O|rice_primary_rice_ext_pair_0078_yield|rice_primary_rice_ext_pair_0079_CH4|rice_primary_rice_ext_pair_0079_GHGI|rice_primary_rice_ext_pair_0079_GWP|rice_primary_rice_ext_pair_0079_N2O|rice_primary_rice_ext_pair_0079_yield|rice_primary_rice_ext_pair_0080_CH4|rice_primary_rice_ext_pair_0080_GHGI|rice_primary_rice_ext_pair_0080_GWP|rice_primary_rice_ext_pair_0080_N2O|rice_primary_rice_ext_pair_0080_yield|rice_primary_rice_ext_pair_0081_CH4|rice_primary_rice_ext_pair_0081_GHGI|rice_primary_rice_ext_pair_0081_GWP|rice_primary_rice_ext_pair_0081_N2O|rice_primary_rice_ext_pair_0081_yield|rice_primary_rice_ext_pair_0082_CH4|rice_primary_rice_ext_pair_0082_GHGI|rice_primary_rice_ext_pair_0082_GWP|rice_primary_rice_ext_pair_0082_N2O|rice_primary_rice_ext_pair_0082_yield|rice_primary_rice_ext_pair_0083_CH4|rice_primary_rice_ext_pair_0083_GHGI|rice_primary_rice_ext_pair_0083_GWP|rice_primary_rice_ext_pair_0083_N2O|rice_primary_rice_ext_pair_0083_yield
rice_primary_494,reported_error_type_ambiguous,arm_label_missing;crop_label_missing,24,CH4|GHGI|GWP|N2O|SOC|yield,10.1016/j.agwat.2023.108434,rice_primary_rice_ext_pair_0085_CH4|rice_primary_rice_ext_pair_0085_GHGI|rice_primary_rice_ext_pair_0085_GWP|rice_primary_rice_ext_pair_0085_N2O|rice_primary_rice_ext_pair_0085_SOC_0_20cm_postharvest|rice_primary_rice_ext_pair_0085_yield|rice_primary_rice_ext_pair_0086_CH4|rice_primary_rice_ext_pair_0086_GHGI|rice_primary_rice_ext_pair_0086_GWP|rice_primary_rice_ext_pair_0086_N2O|rice_primary_rice_ext_pair_0086_SOC_0_20cm_postharvest|rice_primary_rice_ext_pair_0086_yield|rice_primary_rice_ext_pair_0087_CH4|rice_primary_rice_ext_pair_0087_GHGI|rice_primary_rice_ext_pair_0087_GWP|rice_primary_rice_ext_pair_0087_N2O|rice_primary_rice_ext_pair_0087_SOC_0_20cm_postharvest|rice_primary_rice_ext_pair_0087_yield|rice_primary_rice_ext_pair_0088_CH4|rice_primary_rice_ext_pair_0088_GHGI|rice_primary_rice_ext_pair_0088_GWP|rice_primary_rice_ext_pair_0088_N2O|rice_primary_rice_ext_pair_0088_SOC_0_20cm_postharvest|rice_primary_rice_ext_pair_0088_yield
rice_primary_69,reported_error_type_ambiguous,,4,CH4|N2O,10.1016/j.agee.2016.12.042,rice_primary_rice_ext_pair_0136_CH4|rice_primary_rice_ext_pair_0136_N2O|rice_primary_rice_ext_pair_0137_CH4|rice_primary_rice_ext_pair_0137_N2O
sharma_ludhiana_2011_2018,pooled_se_denominator_ambiguous,,4,yield,10.1016/j.heliyon.2023.e17828,sharma_ludhiana_2011_2018_rice_GM_yield|sharma_ludhiana_2011_2018_rice_noGM_yield|sharma_ludhiana_2011_2018_wheat_GM_yield|sharma_ludhiana_2011_2018_wheat_noGM_yield
shittu_ado_ekiti_2001_2002,land_clearing_residue_not_harvest_straw,,2,yield,10.1300/J064v28n02_05,shittu_2006_burning_vs_baling_maize_yield_2001|shittu_2006_burning_vs_baling_maize_yield_2002
