endpoint,effect_id,outcome,reason
SOC,amgain_2025_direct_return_vs_removal_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,amgain_2025_open_burning_vs_removal_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,amgain_2025_direct_return_vs_removal_SOC_0_10cm,SOC,not_SOC_concentration
SOC,amgain_2025_open_burning_vs_removal_SOC_0_10cm,SOC,not_SOC_concentration
SOC,amgain_2025_direct_return_vs_removal_SOC_10_20cm,SOC,not_SOC_concentration
SOC,amgain_2025_open_burning_vs_removal_SOC_10_20cm,SOC,not_SOC_concentration
SOC,basir_2016_open_burning_vs_removal_yield_pooled_2009_2011,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,dong_2024_SOC_2015_N1C1_vs_N1C0,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,dong_2024_SOC_2015_N1C2_vs_N1C0,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,dong_2024_SOC_2015_N1C3_vs_N1C0,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,dong_2024_SOC_2016_N1C1_vs_N1C0,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,dong_2024_SOC_2016_N1C2_vs_N1C0,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,dong_2024_SOC_2016_N1C3_vs_N1C0,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,dong_2024_SOC_2017_N1C1_vs_N1C0,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,dong_2024_SOC_2017_N1C2_vs_N1C0,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,dong_2024_SOC_2017_N1C3_vs_N1C0,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,dong_2024_SOC_2015_N2C1_vs_N2C0,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,dong_2024_SOC_2015_N2C2_vs_N2C0,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,dong_2024_SOC_2015_N2C3_vs_N2C0,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,dong_2024_SOC_2016_N2C1_vs_N2C0,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,dong_2024_SOC_2016_N2C2_vs_N2C0,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,dong_2024_SOC_2016_N2C3_vs_N2C0,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,dong_2024_SOC_2017_N2C1_vs_N2C0,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,dong_2024_SOC_2017_N2C2_vs_N2C0,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,dong_2024_SOC_2017_N2C3_vs_N2C0,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,gupta_2022_R7_vs_R1_pooled_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,gupta_2024_T6_vs_T1_SOC_2020_2021,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,huang_2021_direct_return_early_rice_TOC,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,huang_2021_open_burning_early_rice_TOC,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,huang_2021_direct_return_late_rice_TOC,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,huang_2021_open_burning_late_rice_TOC,SOC,no_unique_counterpart_with_same_period_arms_water_N
SOC,korav_2024_T1_vs_T2_final_SOC,SOC,matched
SOC,korav_2024_T1_vs_T2_yield_2019,yield,no_unique_counterpart_with_same_period_arms_water_N
SOC,korav_2024_T1_vs_T2_yield_2020,yield,matched
SOC,pachauri_2024_burning_vs_removal_yield_2020_21,yield,no_unique_counterpart_with_same_period_arms_water_N
