study_id,pathway,crop_display,experiment_year,season,treatment_arm,control_arm,water_regime,nitrogen_rate,endpoint,yield_effect_id,endpoint_effect_id,yield_percent,endpoint_percent,yield_lnrr,endpoint_lnrr,system_boundary,soc_measure,doi,pairing_level
korav_2024,open_burning,wheat,2020,,T1 conventional-tillage wheat after full in-field residue burning,T2 conventional-tillage wheat after complete residue removal,,,SOC,korav_2024_T1_vs_T2_yield_2020,korav_2024_T1_vs_T2_final_SOC,-0.48701298701314844,3.125000000004776,-0.00488202759731,0.0307716586668,final 0-15 cm SOC after two rice-wheat cycles; combustion pulse excluded,SOC_concentration,10.1038/s41598-024-52319-6,same_recorded_period_and_arms; not_raw_plot_covariance
biochar_li2024SD_3,biochar_return,rice,2009,,C1N0,C0N0,,,SOC,BiocharDS_v1_row_00015_CropYield,BiocharDS_v1_row_00015_SOC,11.627906976707516,10.212765957449149,0.110000895214,0.0972425475554,,SOC_concentration,10.1016/j.agee.2010.09.003,same_recorded_period_and_arms; not_raw_plot_covariance
biochar_li2024SD_3,biochar_return,rice,2009,,C2N0,C0N0,,,SOC,BiocharDS_v1_row_00016_CropYield,BiocharDS_v1_row_00016_SOC,13.953488372085706,57.02127659568686,0.130620182417,0.451211129896,,SOC_concentration,10.1016/j.agee.2010.09.003,same_recorded_period_and_arms; not_raw_plot_covariance
rice_primary_53,open_burning,rice,2011,,NPK plus in-situ rice-straw burning,NPK with rice straw removed,,,SOC,rice_primary_53_2011_yield,rice_primary_53_2011_SOC,-4.900816802798842,0.9554140127391314,-0.0502498053569,0.00950878796903,0-20 cm post-harvest soil concentration,SOC_concentration,10.1007/s11356-015-5227-7,same_recorded_period_and_arms; not_raw_plot_covariance
rice_primary_53,open_burning,rice,2012,,NPK plus in-situ rice-straw burning,NPK with rice straw removed,,,SOC,rice_primary_53_2012_yield,rice_primary_53_2012_SOC,4.373522458625008,0.6315789473679413,0.0428058409977,0.00629592845681,0-20 cm post-harvest soil concentration,SOC_concentration,10.1007/s11356-015-5227-7,same_recorded_period_and_arms; not_raw_plot_covariance
rice_primary_53,open_burning,rice,2013,,NPK plus in-situ rice-straw burning,NPK with rice straw removed,,,SOC,rice_primary_53_2013_yield,rice_primary_53_2013_SOC,4.482758620684491,-0.7869884575026305,0.0438518825288,-0.00790101555569,0-20 cm post-harvest soil concentration,SOC_concentration,10.1007/s11356-015-5227-7,same_recorded_period_and_arms; not_raw_plot_covariance
rice_primary_53,direct_return,rice,2011,,NPK+RSM,NPK,flooding-midseason drainage-reflooding-intermittent,,SOC,rice_primary_53_2011_direct_yield,rice_primary_53_2011_direct_SOC,5.250875145853026,1.9108280254757848,0.0511766014648,0.0189280098855,soil concentration,SOC_concentration,10.1007/s11356-015-5227-7,same_recorded_period_and_arms; not_raw_plot_covariance
rice_primary_53,direct_return,rice,2012,,NPK+RSM,NPK,flooding-midseason drainage-reflooding-intermittent,,SOC,rice_primary_53_2012_direct_yield,rice_primary_53_2012_direct_SOC,3.9007092198629656,3.4210526315758676,0.038265538079,0.0336383591488,soil concentration,SOC_concentration,10.1007/s11356-015-5227-7,same_recorded_period_and_arms; not_raw_plot_covariance
rice_primary_53,direct_return,rice,2013,,NPK+RSM,NPK,flooding-midseason drainage-reflooding-intermittent,,SOC,rice_primary_53_2013_direct_yield,rice_primary_53_2013_direct_SOC,4.827586206896344,3.305351521513279,0.0471467784257,0.032518994425,soil concentration,SOC_concentration,10.1007/s11356-015-5227-7,same_recorded_period_and_arms; not_raw_plot_covariance
du_dingxi_2016_2022,direct_return,wheat,2021,spring wheat,CTS-LN,CT-LN,rain-fed,55 kg N ha-1,SOC,du_dingxi_2016_2022_2021_LN_yield,du_dingxi_2016_2022_2021_LN_SOC,3.857030238598262,3.626943005186413,0.0378450581294,0.0356271776432,0-10 cm soil sample,SOC_concentration,10.3390/agronomy14092087,same_recorded_period_and_arms; not_raw_plot_covariance
du_dingxi_2016_2022,direct_return,wheat,2021,spring wheat,CTS-MN,CT-MN,rain-fed,110 kg N ha-1,SOC,du_dingxi_2016_2022_2021_MN_yield,du_dingxi_2016_2022_2021_MN_SOC,5.380618594328991,9.32896890344241,0.0524085489061,0.0891912143651,0-10 cm soil sample,SOC_concentration,10.3390/agronomy14092087,same_recorded_period_and_arms; not_raw_plot_covariance
du_dingxi_2016_2022,direct_return,wheat,2021,spring wheat,CTS-HN,CT-HN,rain-fed,220 kg N ha-1,SOC,du_dingxi_2016_2022_2021_HN_yield,du_dingxi_2016_2022_2021_HN_SOC,8.417021983856152,4.006163328193083,0.080814920061,0.0392799741684,0-10 cm soil sample,SOC_concentration,10.3390/agronomy14092087,same_recorded_period_and_arms; not_raw_plot_covariance
du_dingxi_2016_2022,direct_return,wheat,2022,spring wheat,CTS-LN,CT-LN,rain-fed,55 kg N ha-1,SOC,du_dingxi_2016_2022_2022_LN_yield,du_dingxi_2016_2022_2022_LN_SOC,12.017510783337897,4.520795660031706,0.113485019366,0.04421586715,0-10 cm soil sample,SOC_concentration,10.3390/agronomy14092087,same_recorded_period_and_arms; not_raw_plot_covariance
du_dingxi_2016_2022,direct_return,wheat,2022,spring wheat,CTS-MN,CT-MN,rain-fed,110 kg N ha-1,SOC,du_dingxi_2016_2022_2022_MN_yield,du_dingxi_2016_2022_2022_MN_SOC,4.456881498100648,11.320754717025924,0.0436041830238,0.107245530354,0-10 cm soil sample,SOC_concentration,10.3390/agronomy14092087,same_recorded_period_and_arms; not_raw_plot_covariance
du_dingxi_2016_2022,direct_return,wheat,2022,spring wheat,CTS-HN,CT-HN,rain-fed,220 kg N ha-1,SOC,du_dingxi_2016_2022_2022_HN_yield,du_dingxi_2016_2022_2022_HN_SOC,-0.1376751854903061,4.173354735148649,-0.00137770044849,0.0408861979166,0-10 cm soil sample,SOC_concentration,10.3390/agronomy14092087,same_recorded_period_and_arms; not_raw_plot_covariance
