study_id,crop_display,experiment_year,season,shared_control_group,contrast,a_effect_id,b_effect_id,a_arm,b_arm,difference_lnrr,percent,matching_note,doi
amgain_bhairahawa_2019_2021,rice,2019-2021 pooled,,amgain_2025_removal_yield,direct_return_vs_open_burning,amgain_2025_direct_return_vs_removal_yield,amgain_2025_open_burning_vs_removal_yield,crop residue incorporated into soil (R2),crop residue burned in field (R1),0.08432360472799999,8.798091261557524,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.3126/jiaas.v39i1.88273
rice_primary_53,rice,2011,,study53_2011_NPK,direct_return_vs_open_burning,rice_primary_53_2011_direct_yield,rice_primary_53_2011_yield,NPK+RSM,NPK plus in-situ rice-straw burning,0.1014264068217,10.674846625760125,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1007/s11356-015-5227-7
rice_primary_53,rice,2012,,study53_2012_NPK,direct_return_vs_open_burning,rice_primary_53_2012_direct_yield,rice_primary_53_2012_yield,NPK+RSM,NPK plus in-situ rice-straw burning,-0.004540302918699994,-0.4530011324945667,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1007/s11356-015-5227-7
rice_primary_53,rice,2013,,study53_2013_NPK,direct_return_vs_open_burning,rice_primary_53_2013_direct_yield,rice_primary_53_2013_yield,NPK+RSM,NPK plus in-situ rice-straw burning,0.0032948958969000047,0.3300330033050906,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.1007/s11356-015-5227-7
nayak_bhubaneswar_2020_2021,rice,2020,Kharif_wet,nayak_2020_C1,direct_return_vs_open_burning,nayak_bhubaneswar_2020_return_yield,nayak_bhubaneswar_2020_burning_yield,C3: in-situ rice residue incorporation,C2: in-situ rice residue burning,0.015705844315799997,1.5829829334664969,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,
nayak_bhubaneswar_2020_2021,rice,2021,Kharif_wet,nayak_2021_C1,direct_return_vs_open_burning,nayak_bhubaneswar_2021_return_yield,nayak_bhubaneswar_2021_burning_yield,C3: in-situ rice residue incorporation,C2: in-situ rice residue burning,0.0316649146441,3.2171581769572537,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,
jijnasa_bhubaneswar_2022_2024,rice,Kharif_2022,Kharif_wet,jijnasa_Kharif_2022_S1,direct_return_vs_open_burning,jijnasa_k22_return_yield,jijnasa_k22_burn_yield,S3: in-situ rice straw incorporation,S2: in-field rice straw burning,0.1175934082741,12.478668942033373,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.14719/pst.9983
jijnasa_bhubaneswar_2022_2024,rice,Kharif_2023,Kharif_wet,jijnasa_Kharif_2023_S1,direct_return_vs_open_burning,jijnasa_k23_return_yield,jijnasa_k23_burn_yield,S3: in-situ rice straw incorporation,S2: in-field rice straw burning,0.0903643554819,9.457302474096224,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.14719/pst.9983
jijnasa_bhubaneswar_2022_2024,rice,Rabi_2023,Rabi_dry,jijnasa_Rabi_2023_S1,direct_return_vs_open_burning,jijnasa_r23_return_yield,jijnasa_r23_burn_yield,S3: in-situ rice straw incorporation,S2: in-field rice straw burning,0.0751410300966,7.803617571034037,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.14719/pst.9983
jijnasa_bhubaneswar_2022_2024,rice,Rabi_2024,Rabi_dry,jijnasa_Rabi_2024_S1,direct_return_vs_open_burning,jijnasa_r24_return_yield,jijnasa_r24_burn_yield,S3: in-situ rice straw incorporation,S2: in-field rice straw burning,0.12399764165649999,13.20132013200519,same_explicit_shared_control_and_mean; missing_water_or_N_labels_not_imputed,10.14719/pst.9983
