study_id,pathway,outcome,soc_kind,n_effects,mean_lnrr,percent,effect_ids,countries,crops,doi,citations
amgain_bhairahawa_2019_2021,direct_return,SOC,SOM_proxy,2,0.1189823608284,12.635005023130772,amgain_2025_direct_return_vs_removal_SOC_0_10cm|amgain_2025_direct_return_vs_removal_SOC_10_20cm,Nepal,rice,10.3126/jiaas.v39i1.88273,Amgain et al. 2025
amgain_bhairahawa_2019_2021,direct_return,yield,not_SOC,1,0.028640912228,2.9055007052192217,amgain_2025_direct_return_vs_removal_yield,Nepal,rice,10.3126/jiaas.v39i1.88273,Amgain et al. 2025
amgain_bhairahawa_2019_2021,open_burning,SOC,SOM_proxy,2,-0.016232682383265,-1.6101642396184082,amgain_2025_open_burning_vs_removal_SOC_0_10cm|amgain_2025_open_burning_vs_removal_SOC_10_20cm,Nepal,rice,10.3126/jiaas.v39i1.88273,Amgain et al. 2025
amgain_bhairahawa_2019_2021,open_burning,yield,not_SOC,1,-0.0556826925,-5.416078984485253,amgain_2025_open_burning_vs_removal_yield,Nepal,rice,10.3126/jiaas.v39i1.88273,Amgain et al. 2025
basir_nowshera_2009_2011,open_burning,yield,not_SOC,1,0.0673932094883,6.971601797711657,basir_2016_open_burning_vs_removal_yield_pooled_2009_2011,Pakistan,wheat,10.17957/IJAB/14.0030,Basir et al. 2016
biochar_li2024SD_3,biochar_return,CH4,not_SOC,2,0.5080729061185001,66.20851126761531,BiocharDS_v1_row_00015_CH4|BiocharDS_v1_row_00016_CH4,China,rice,10.1016/j.agee.2010.09.003,
biochar_li2024SD_3,biochar_return,N2O,not_SOC,2,-0.27989446655899997,-24.413649387654093,BiocharDS_v1_row_00015_N2O|BiocharDS_v1_row_00016_N2O,China,rice,10.1016/j.agee.2010.09.003,
biochar_li2024SD_3,biochar_return,SOC,SOC_concentration,2,0.2742268387257,31.551317772876462,BiocharDS_v1_row_00015_SOC|BiocharDS_v1_row_00016_SOC,China,rice,10.1016/j.agee.2010.09.003,
biochar_li2024SD_3,biochar_return,yield,not_SOC,2,0.1203105388155,12.784703748648935,BiocharDS_v1_row_00015_CropYield|BiocharDS_v1_row_00016_CropYield,China,rice,10.1016/j.agee.2010.09.003,
biochar_li2024SD_31,biochar_return,yield,not_SOC,6,-0.016183089144566665,-1.6052846480116778,BiocharDS_v1_row_00240_CropYield|BiocharDS_v1_row_00241_CropYield|BiocharDS_v1_row_00242_CropYield|BiocharDS_v1_row_00243_CropYield|BiocharDS_v1_row_00244_CropYield|BiocharDS_v1_row_00245_CropYield,China,rice,,
biochar_li2024SD_71,biochar_return,CH4,not_SOC,4,-0.21468363802025,-19.320336041034103,BiocharDS_v1_row_00470_CH4|BiocharDS_v1_row_00471_CH4|BiocharDS_v1_row_00474_CH4|BiocharDS_v1_row_00475_CH4,China,rice,10.1016/j.agee.2014.03.002,
biochar_li2024SD_71,biochar_return,N2O,not_SOC,4,0.32577913826675,38.51094174208718,BiocharDS_v1_row_00470_N2O|BiocharDS_v1_row_00471_N2O|BiocharDS_v1_row_00474_N2O|BiocharDS_v1_row_00475_N2O,China,rice,10.1016/j.agee.2014.03.002,
biochar_li2024SD_71,biochar_return,yield,not_SOC,4,0.025530393483100003,2.585908522739342,BiocharDS_v1_row_00470_CropYield|BiocharDS_v1_row_00471_CropYield|BiocharDS_v1_row_00474_CropYield|BiocharDS_v1_row_00475_CropYield,China,rice,10.1016/j.agee.2014.03.002,
