study_id,pathway,crop_display,n_effects,mean_lnrr,percent,effect_ids,countries,crops,doi,citations
amgain_bhairahawa_2019_2021,direct_return,rice,1,0.028640912228,2.9055007052192217,amgain_2025_direct_return_vs_removal_yield,Nepal,rice,10.3126/jiaas.v39i1.88273,Amgain et al. 2025
amgain_bhairahawa_2019_2021,open_burning,rice,1,-0.0556826925,-5.416078984485253,amgain_2025_open_burning_vs_removal_yield,Nepal,rice,10.3126/jiaas.v39i1.88273,Amgain et al. 2025
basir_nowshera_2009_2011,open_burning,wheat,1,0.0673932094883,6.971601797711657,basir_2016_open_burning_vs_removal_yield_pooled_2009_2011,Pakistan,wheat,10.17957/IJAB/14.0030,Basir et al. 2016
biochar_li2024SD_3,biochar_return,rice,2,0.1203105388155,12.784703748648935,BiocharDS_v1_row_00015_CropYield|BiocharDS_v1_row_00016_CropYield,China,rice,10.1016/j.agee.2010.09.003,
biochar_li2024SD_31,biochar_return,rice,6,-0.016183089144566665,-1.6052846480116778,BiocharDS_v1_row_00240_CropYield|BiocharDS_v1_row_00241_CropYield|BiocharDS_v1_row_00242_CropYield|BiocharDS_v1_row_00243_CropYield|BiocharDS_v1_row_00244_CropYield|BiocharDS_v1_row_00245_CropYield,China,rice,,
biochar_li2024SD_71,biochar_return,rice,4,0.025530393483100003,2.585908522739342,BiocharDS_v1_row_00470_CropYield|BiocharDS_v1_row_00471_CropYield|BiocharDS_v1_row_00474_CropYield|BiocharDS_v1_row_00475_CropYield,China,rice,10.1016/j.agee.2014.03.002,
du_dingxi_2016_2022,direct_return,wheat,6,0.05446333817296833,5.59737617766503,du_dingxi_2016_2022_2021_HN_yield|du_dingxi_2016_2022_2021_LN_yield|du_dingxi_2016_2022_2021_MN_yield|du_dingxi_2016_2022_2022_HN_yield|du_dingxi_2016_2022_2022_LN_yield|du_dingxi_2016_2022_2022_MN_yield,China,wheat,10.3390/agronomy14092087,
huang_shangzhuang_2006_2013,direct_return,maize,4,0.058890225536594995,6.065880109847996,huang_shangzhuang_2006_2013_yield_N0_maize_2011|huang_shangzhuang_2006_2013_yield_N0_maize_2012|huang_shangzhuang_2006_2013_yield_Ncon_maize_2011|huang_shangzhuang_2006_2013_yield_Ncon_maize_2012,China,maize,10.5194/bg-10-7897-2013,
huang_shangzhuang_2006_2013,direct_return,wheat,4,0.037452124743749995,3.816229360621576,huang_shangzhuang_2006_2013_yield_N0_wheat_2010_2011|huang_shangzhuang_2006_2013_yield_N0_wheat_2011_2012|huang_shangzhuang_2006_2013_yield_Ncon_wheat_2010_2011|huang_shangzhuang_2006_2013_yield_Ncon_wheat_2011_2012,China,wheat,10.5194/bg-10-7897-2013,
jijnasa_bhubaneswar_2022_2024,biochar_return,rice,4,0.102696535775225,10.815507262550346,jijnasa_k22_biochar_yield|jijnasa_k23_biochar_yield|jijnasa_r23_biochar_yield|jijnasa_r24_biochar_yield,India,rice,10.14719/pst.9983,
jijnasa_bhubaneswar_2022_2024,direct_return,rice,4,0.138290893412,14.830953737385885,jijnasa_k22_return_yield|jijnasa_k23_return_yield|jijnasa_r23_return_yield|jijnasa_r24_return_yield,India,rice,10.14719/pst.9983,
jijnasa_bhubaneswar_2022_2024,open_burning,rice,4,0.036516784534725004,3.719171265196887,jijnasa_k22_burn_yield|jijnasa_k23_burn_yield|jijnasa_r23_burn_yield|jijnasa_r24_burn_yield,India,rice,10.14719/pst.9983,
korav_2024,open_burning,wheat,2,-0.004926520159665,-0.4914404762970542,korav_2024_T1_vs_T2_yield_2019|korav_2024_T1_vs_T2_yield_2020,India,wheat,10.1038/s41598-024-52319-6,Korav et al. 2024
nayak_bhubaneswar_2020_2021,direct_return,rice,2,0.08074500959325,8.409442764073686,nayak_bhubaneswar_2020_return_yield|nayak_bhubaneswar_2021_return_yield,India,rice,,
nayak_bhubaneswar_2020_2021,open_burning,rice,2,0.0570596301133,5.8718940043615,nayak_bhubaneswar_2020_burning_yield|nayak_bhubaneswar_2021_burning_yield,India,rice,,
pachauri_meerut_2020_2022,open_burning,wheat,2,0.1185991668045,12.591852230798064,pachauri_2024_burning_vs_removal_yield_2020_21|pachauri_2024_burning_vs_removal_yield_2021_22,India,wheat,10.33545/2618060X.2024.v7.i12e.2165,Pachauri et al. 2024
