effect_id,study_id,paper_doi,paper_title,citation,publication_year,experiment_year,country,location,latitude,longitude,broad_climate,koppen_climate,crop_as_reported,crop_core,season,residue_as_reported,pathway,outcome,outcome_unit,treatment_arm,control_arm,treatment_mean,control_mean,treatment_sd,control_sd,treatment_n,control_n,lnrr,variance_lnrr,percent_change,shared_control_group,source_locator,variance_provenance,analysis_tier,source_analysis_tier,tier_reconciliation,formal_decision,variance_origin_status,independence_resolution,sensitivity_note,quality_flags,system_boundary,gwp_version,soc_measure,soil_depth,water_regime,nitrogen_rate,extraction_method
amgain_2025_direct_return_vs_removal_yield,amgain_bhairahawa_2019_2021,10.3126/jiaas.v39i1.88273,Effect of crop residue management and fertilizer rates on paddy yield and soil organic matter under paddy-wheat cropping system in western Terai of Nepal,Amgain et al. 2025,2025,2019-2021 pooled,Nepal,"National Wheat Research Program, Bhairahawa, Rupandehi",,,,,paddy in paddy-wheat rotation,,,,direct_return,yield,kg ha-1 paddy grain yield,crop residue incorporated into soil (R2),post-harvest crop residue removed (R3),3648,3545,108.945995796,108.945995796,3,3,0.028640912228,0.000612122466186,2.90550070522,amgain_2025_removal_yield,Table 2,reported residue-main-effect SEM converted to residual SD as SEM*sqrt(3 blocks),A_primary_exact_pair_reported_SEM,A_primary_exact_pair_reported_SEM,,ADMIT_MATCHED_RESIDUE_MANAGEMENT_VS_REMOVAL; SHARED_CONTROL_AND_POOLED_YEAR_DEPENDENCE_ENCODED,documented_or_reconstructed,"three blocks are the independent units; fertilizer subplots and three years are pooled, not counted as independent studies",model shared removal control across pathways,,three-year pooled paddy yield,,,,,,
amgain_2025_open_burning_vs_removal_yield,amgain_bhairahawa_2019_2021,10.3126/jiaas.v39i1.88273,Effect of crop residue management and fertilizer rates on paddy yield and soil organic matter under paddy-wheat cropping system in western Terai of Nepal,Amgain et al. 2025,2025,2019-2021 pooled,Nepal,"National Wheat Research Program, Bhairahawa, Rupandehi",,,,,paddy in paddy-wheat rotation,,,,open_burning,yield,kg ha-1 paddy grain yield,crop residue burned in field (R1),post-harvest crop residue removed (R3),3353,3545,108.945995796,108.945995796,3,3,-0.0556826925,0.000666736797215,-5.41607898449,amgain_2025_removal_yield,Table 2,reported residue-main-effect SEM converted to residual SD as SEM*sqrt(3 blocks),A_primary_exact_pair_reported_SEM,A_primary_exact_pair_reported_SEM,,ADMIT_MATCHED_RESIDUE_MANAGEMENT_VS_REMOVAL; SHARED_CONTROL_AND_POOLED_YEAR_DEPENDENCE_ENCODED,documented_or_reconstructed,"three blocks are the independent units; fertilizer subplots and three years are pooled, not counted as independent studies",model shared removal control across pathways,,three-year pooled paddy yield,,,,,,
amgain_2025_direct_return_vs_removal_SOC_0_10cm,amgain_bhairahawa_2019_2021,10.3126/jiaas.v39i1.88273,Effect of crop residue management and fertilizer rates on paddy yield and soil organic matter under paddy-wheat cropping system in western Terai of Nepal,Amgain et al. 2025,2025,2019-2021 pooled,Nepal,"National Wheat Research Program, Bhairahawa, Rupandehi",,,,,paddy in paddy-wheat rotation,,,,direct_return,SOC,"soil organic matter percent, 0-10 cm",crop residue incorporated into soil (R2),post-harvest crop residue removed (R3),2.23,1.9,0.0692820323028,0.0692820323028,3,3,0.1601476993,0.000764957148075,17.3684210526,amgain_2025_removal_SOC_0_10cm,Table 4,reported residue-main-effect SEM converted to residual SD as SEM*sqrt(3 blocks),A_primary_exact_pair_reported_SEM,A_primary_exact_pair_reported_SEM,,ADMIT_MATCHED_RESIDUE_MANAGEMENT_VS_REMOVAL; SHARED_CONTROL_AND_POOLED_YEAR_DEPENDENCE_ENCODED,documented_or_reconstructed,"three blocks are the independent units; fertilizer subplots and three years are pooled, not counted as independent studies",model correlated outcomes within study and shared removal controls; soil endpoint is SOM proxy,,terminal 0-10 cm soil organic matter response,,Walkley-Black soil organic matter; relative-response proxy for SOC because a constant conversion factor cancels in lnRR,,,,
amgain_2025_open_burning_vs_removal_SOC_0_10cm,amgain_bhairahawa_2019_2021,10.3126/jiaas.v39i1.88273,Effect of crop residue management and fertilizer rates on paddy yield and soil organic matter under paddy-wheat cropping system in western Terai of Nepal,Amgain et al. 2025,2025,2019-2021 pooled,Nepal,"National Wheat Research Program, Bhairahawa, Rupandehi",,,,,paddy in paddy-wheat rotation,,,,open_burning,SOC,"soil organic matter percent, 0-10 cm",crop residue burned in field (R1),post-harvest crop residue removed (R3),1.85,1.9,0.0692820323028,0.0692820323028,3,3,-0.0266682470822,0.000910707817947,-2.63157894737,amgain_2025_removal_SOC_0_10cm,Table 4,reported residue-main-effect SEM converted to residual SD as SEM*sqrt(3 blocks),A_primary_exact_pair_reported_SEM,A_primary_exact_pair_reported_SEM,,ADMIT_MATCHED_RESIDUE_MANAGEMENT_VS_REMOVAL; SHARED_CONTROL_AND_POOLED_YEAR_DEPENDENCE_ENCODED,documented_or_reconstructed,"three blocks are the independent units; fertilizer subplots and three years are pooled, not counted as independent studies",model correlated outcomes within study and shared removal controls; soil endpoint is SOM proxy,,terminal 0-10 cm soil organic matter response,,Walkley-Black soil organic matter; relative-response proxy for SOC because a constant conversion factor cancels in lnRR,,,,
amgain_2025_direct_return_vs_removal_SOC_10_20cm,amgain_bhairahawa_2019_2021,10.3126/jiaas.v39i1.88273,Effect of crop residue management and fertilizer rates on paddy yield and soil organic matter under paddy-wheat cropping system in western Terai of Nepal,Amgain et al. 2025,2025,2019-2021 pooled,Nepal,"National Wheat Research Program, Bhairahawa, Rupandehi",,,,,paddy in paddy-wheat rotation,,,,direct_return,SOC,"soil organic matter percent, 10-20 cm",crop residue incorporated into soil (R2),post-harvest crop residue removed (R3),1.87,1.73,0.138564064606,0.138564064606,3,3,0.0778170223568,0.00396858665578,8.09248554913,amgain_2025_removal_SOC_10_20cm,Table 4,reported residue-main-effect SEM converted to residual SD as SEM*sqrt(3 blocks),A_primary_exact_pair_reported_SEM,A_primary_exact_pair_reported_SEM,,ADMIT_MATCHED_RESIDUE_MANAGEMENT_VS_REMOVAL; SHARED_CONTROL_AND_POOLED_YEAR_DEPENDENCE_ENCODED,documented_or_reconstructed,"three blocks are the independent units; fertilizer subplots and three years are pooled, not counted as independent studies",model correlated outcomes within study and shared removal controls; soil endpoint is SOM proxy,,terminal 10-20 cm soil organic matter response,,Walkley-Black soil organic matter; relative-response proxy for SOC because a constant conversion factor cancels in lnRR,,,,
amgain_2025_open_burning_vs_removal_SOC_10_20cm,amgain_bhairahawa_2019_2021,10.3126/jiaas.v39i1.88273,Effect of crop residue management and fertilizer rates on paddy yield and soil organic matter under paddy-wheat cropping system in western Terai of Nepal,Amgain et al. 2025,2025,2019-2021 pooled,Nepal,"National Wheat Research Program, Bhairahawa, Rupandehi",,,,,paddy in paddy-wheat rotation,,,,open_burning,SOC,"soil organic matter percent, 10-20 cm",crop residue burned in field (R1),post-harvest crop residue removed (R3),1.72,1.73,0.138564064606,0.138564064606,3,3,-0.00579711768433,0.00430172573016,-0.578034682081,amgain_2025_removal_SOC_10_20cm,Table 4,reported residue-main-effect SEM converted to residual SD as SEM*sqrt(3 blocks),A_primary_exact_pair_reported_SEM,A_primary_exact_pair_reported_SEM,,ADMIT_MATCHED_RESIDUE_MANAGEMENT_VS_REMOVAL; SHARED_CONTROL_AND_POOLED_YEAR_DEPENDENCE_ENCODED,documented_or_reconstructed,"three blocks are the independent units; fertilizer subplots and three years are pooled, not counted as independent studies",model correlated outcomes within study and shared removal controls; soil endpoint is SOM proxy,,terminal 10-20 cm soil organic matter response,,Walkley-Black soil organic matter; relative-response proxy for SOC because a constant conversion factor cancels in lnRR,,,,
basir_2016_open_burning_vs_removal_yield_pooled_2009_2011,basir_nowshera_2009_2011,10.17957/IJAB/14.0030,"Response of tillage, nitrogen and stubble management on phenology and crop establishment of wheat",Basir et al. 2016,2016,2009-2011 pooled,Pakistan,,34.0,72.0,warm-to-hot semi-arid subtropical continental,,spring wheat after maize,,winter wheat,,open_burning,yield,kg ha-1 wheat grain yield,"maize stubble burned and ash incorporated, marginal over tillage and N","maize stubble physically removed, marginal over tillage and N",2830.03,2645.59,89.9741924287,89.9741924287,4,4,0.0673932094883,0.000541848459075,6.97160179771,,Table 2,SE difference reconstructed from LSD0.05 with subplot error df=(4-1)*3*(6-1)=45; equal-arm SE used for delta-method lnRR variance,A_primary_matched_marginal_mean_LSD_reconstructed_variance,A_primary_matched_marginal_mean_LSD_reconstructed_variance,,ADMIT_MATCHED_BURNING_VS_REMOVAL_MARGINAL_MAIN_EFFECT; LSD_VARIANCE_SENSITIVITY_REQUIRED,documented_or_reconstructed,"one two-year field experiment; years, tillage levels and N strata are pooled in the published residue-management marginal mean",exclude in LSD-reconstructed-variance sensitivity analysis; do not split crossed factor cells or years into independent studies,,subsequent wheat grain yield; combustion emissions excluded,,,,irrigated at critical stages,,
dong_2024_CH4_2015_N1C1_vs_N1C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2015,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,CH4,kg CH4 ha-1 per rice season,N1C1,N1C0,272.68,193.34,37.8106691292,50.9049732344,3,3,0.343848649458,0.0295168048778,41.0365159822,dong_2024_2015_N1C0_CH4,"Table 2, p. 6","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,,,,,continuous flooding,120.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_CH4_2015_N1C2_vs_N1C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2015,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,CH4,kg CH4 ha-1 per rice season,N1C2,N1C0,255.91,193.34,20.368917497,50.9049732344,3,3,0.280375523131,0.0252193864796,32.3626771491,dong_2024_2015_N1C0_CH4,"Table 2, p. 6","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,,,,,continuous flooding,120.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_CH4_2015_N1C3_vs_N1C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2015,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,CH4,kg CH4 ha-1 per rice season,N1C3,N1C0,242.61,193.34,53.4684084297,50.9049732344,3,3,0.227004918739,0.0392979840738,25.4836040137,dong_2024_2015_N1C0_CH4,"Table 2, p. 6","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,,,,,continuous flooding,120.0,automated transcription from primary numeric PDF table with row and anchor assertions
