effect_id,study_id,paper_doi,paper_title,publication_year,experiment_year,country,location,broad_climate,crop_core,season,residue_as_reported,pathway,outcome,outcome_unit,treatment_arm,control_arm,treatment_mean,control_mean,treatment_se,control_se,treatment_n,control_n,shared_control_group,source_locator,water_regime,system_boundary,soc_measure,soil_depth,nitrogen_rate,gwp_version
du_dingxi_2016_2022_2021_LN_yield,du_dingxi_2016_2022,10.3390/agronomy14092087,"Reducing Nitrogen Application Rates and Straw Mulching Can Alleviate Greenhouse Gas Emissions from Wheat Field Soil and Improve Soil Quality",2024,2021,China,"Anjiapo Village, Dingxi, Gansu",temperate semi-arid,wheat,spring wheat,previous-crop wheat straw incorporated at first plough,direct_return,yield,kg ha-1,CTS-LN,CT-LN,1436.00,1382.67,50.120,12.719,3,3,du_2021_LN_CT,Table 3,rain-fed,crop harvest,,,55 kg N ha-1,
du_dingxi_2016_2022_2021_MN_yield,du_dingxi_2016_2022,10.3390/agronomy14092087,"Reducing Nitrogen Application Rates and Straw Mulching Can Alleviate Greenhouse Gas Emissions from Wheat Field Soil and Improve Soil Quality",2024,2021,China,"Anjiapo Village, Dingxi, Gansu",temperate semi-arid,wheat,spring wheat,previous-crop wheat straw incorporated at first plough,direct_return,yield,kg ha-1,CTS-MN,CT-MN,1847.67,1753.33,26.560,11.392,3,3,du_2021_MN_CT,Table 3,rain-fed,crop harvest,,,110 kg N ha-1,
du_dingxi_2016_2022_2021_HN_yield,du_dingxi_2016_2022,10.3390/agronomy14092087,"Reducing Nitrogen Application Rates and Straw Mulching Can Alleviate Greenhouse Gas Emissions from Wheat Field Soil and Improve Soil Quality",2024,2021,China,"Anjiapo Village, Dingxi, Gansu",temperate semi-arid,wheat,spring wheat,previous-crop wheat straw incorporated at first plough,direct_return,yield,kg ha-1,CTS-HN,CT-HN,1696.00,1564.33,24.331,20.464,3,3,du_2021_HN_CT,Table 3,rain-fed,crop harvest,,,220 kg N ha-1,
du_dingxi_2016_2022_2022_LN_yield,du_dingxi_2016_2022,10.3390/agronomy14092087,"Reducing Nitrogen Application Rates and Straw Mulching Can Alleviate Greenhouse Gas Emissions from Wheat Field Soil and Improve Soil Quality",2024,2022,China,"Anjiapo Village, Dingxi, Gansu",temperate semi-arid,wheat,spring wheat,previous-crop wheat straw incorporated at first plough,direct_return,yield,kg ha-1,CTS-LN,CT-LN,1218.00,1087.33,50.120,21.980,3,3,du_2022_LN_CT,Table 3,rain-fed,crop harvest,,,55 kg N ha-1,
du_dingxi_2016_2022_2022_MN_yield,du_dingxi_2016_2022,10.3390/agronomy14092087,"Reducing Nitrogen Application Rates and Straw Mulching Can Alleviate Greenhouse Gas Emissions from Wheat Field Soil and Improve Soil Quality",2024,2022,China,"Anjiapo Village, Dingxi, Gansu",temperate semi-arid,wheat,spring wheat,previous-crop wheat straw incorporated at first plough,direct_return,yield,kg ha-1,CTS-MN,CT-MN,1429.67,1368.67,26.560,30.492,3,3,du_2022_MN_CT,Table 3,rain-fed,crop harvest,,,110 kg N ha-1,
du_dingxi_2016_2022_2022_HN_yield,du_dingxi_2016_2022,10.3390/agronomy14092087,"Reducing Nitrogen Application Rates and Straw Mulching Can Alleviate Greenhouse Gas Emissions from Wheat Field Soil and Improve Soil Quality",2024,2022,China,"Anjiapo Village, Dingxi, Gansu",temperate semi-arid,wheat,spring wheat,previous-crop wheat straw incorporated at first plough,direct_return,yield,kg ha-1,CTS-HN,CT-HN,1211.33,1213.00,19.230,45.545,3,3,du_2022_HN_CT,Table 3,rain-fed,crop harvest,,,220 kg N ha-1,
du_dingxi_2016_2022_2021_LN_SOC,du_dingxi_2016_2022,10.3390/agronomy14092087,"Reducing Nitrogen Application Rates and Straw Mulching Can Alleviate Greenhouse Gas Emissions from Wheat Field Soil and Improve Soil Quality",2024,2021,China,"Anjiapo Village, Dingxi, Gansu",temperate semi-arid,wheat,spring wheat,previous-crop wheat straw incorporated at first plough,direct_return,SOC,g kg-1,CTS-LN,CT-LN,6.00,5.79,0.206,0.072,3,3,du_2021_LN_CT,Table 2,rain-fed,0-10 cm soil sample,SOC concentration,0-10 cm,55 kg N ha-1,
du_dingxi_2016_2022_2021_MN_SOC,du_dingxi_2016_2022,10.3390/agronomy14092087,"Reducing Nitrogen Application Rates and Straw Mulching Can Alleviate Greenhouse Gas Emissions from Wheat Field Soil and Improve Soil Quality",2024,2021,China,"Anjiapo Village, Dingxi, Gansu",temperate semi-arid,wheat,spring wheat,previous-crop wheat straw incorporated at first plough,direct_return,SOC,g kg-1,CTS-MN,CT-MN,6.68,6.11,0.094,0.116,3,3,du_2021_MN_CT,Table 2,rain-fed,0-10 cm soil sample,SOC concentration,0-10 cm,110 kg N ha-1,
du_dingxi_2016_2022_2021_HN_SOC,du_dingxi_2016_2022,10.3390/agronomy14092087,"Reducing Nitrogen Application Rates and Straw Mulching Can Alleviate Greenhouse Gas Emissions from Wheat Field Soil and Improve Soil Quality",2024,2021,China,"Anjiapo Village, Dingxi, Gansu",temperate semi-arid,wheat,spring wheat,previous-crop wheat straw incorporated at first plough,direct_return,SOC,g kg-1,CTS-HN,CT-HN,6.75,6.49,0.218,0.060,3,3,du_2021_HN_CT,Table 2,rain-fed,0-10 cm soil sample,SOC concentration,0-10 cm,220 kg N ha-1,
du_dingxi_2016_2022_2022_LN_SOC,du_dingxi_2016_2022,10.3390/agronomy14092087,"Reducing Nitrogen Application Rates and Straw Mulching Can Alleviate Greenhouse Gas Emissions from Wheat Field Soil and Improve Soil Quality",2024,2022,China,"Anjiapo Village, Dingxi, Gansu",temperate semi-arid,wheat,spring wheat,previous-crop wheat straw incorporated at first plough,direct_return,SOC,g kg-1,CTS-LN,CT-LN,5.78,5.53,0.106,0.091,3,3,du_2022_LN_CT,Table 2,rain-fed,0-10 cm soil sample,SOC concentration,0-10 cm,55 kg N ha-1,
du_dingxi_2016_2022_2022_MN_SOC,du_dingxi_2016_2022,10.3390/agronomy14092087,"Reducing Nitrogen Application Rates and Straw Mulching Can Alleviate Greenhouse Gas Emissions from Wheat Field Soil and Improve Soil Quality",2024,2022,China,"Anjiapo Village, Dingxi, Gansu",temperate semi-arid,wheat,spring wheat,previous-crop wheat straw incorporated at first plough,direct_return,SOC,g kg-1,CTS-MN,CT-MN,6.49,5.83,0.072,0.049,3,3,du_2022_MN_CT,Table 2,rain-fed,0-10 cm soil sample,SOC concentration,0-10 cm,110 kg N ha-1,
du_dingxi_2016_2022_2022_HN_SOC,du_dingxi_2016_2022,10.3390/agronomy14092087,"Reducing Nitrogen Application Rates and Straw Mulching Can Alleviate Greenhouse Gas Emissions from Wheat Field Soil and Improve Soil Quality",2024,2022,China,"Anjiapo Village, Dingxi, Gansu",temperate semi-arid,wheat,spring wheat,previous-crop wheat straw incorporated at first plough,direct_return,SOC,g kg-1,CTS-HN,CT-HN,6.49,6.23,0.088,0.114,3,3,du_2022_HN_CT,Table 2,rain-fed,0-10 cm soil sample,SOC concentration,0-10 cm,220 kg N ha-1,
du_dingxi_2016_2022_2021_LN_GWP,du_dingxi_2016_2022,10.3390/agronomy14092087,"Reducing Nitrogen Application Rates and Straw Mulching Can Alleviate Greenhouse Gas Emissions from Wheat Field Soil and Improve Soil Quality",2024,2021,China,"Anjiapo Village, Dingxi, Gansu",temperate semi-arid,wheat,spring wheat,previous-crop wheat straw incorporated at first plough,direct_return,GWP,kg CO2-eq ha-1,CTS-LN,CT-LN,631.56,565.73,10.052,4.110,3,3,du_2021_LN_CT,Table 3,rain-fed,growing-season soil CH4+N2O only,,,55 kg N ha-1,AR4 CH4=25 N2O=298
du_dingxi_2016_2022_2021_MN_GWP,du_dingxi_2016_2022,10.3390/agronomy14092087,"Reducing Nitrogen Application Rates and Straw Mulching Can Alleviate Greenhouse Gas Emissions from Wheat Field Soil and Improve Soil Quality",2024,2021,China,"Anjiapo Village, Dingxi, Gansu",temperate semi-arid,wheat,spring wheat,previous-crop wheat straw incorporated at first plough,direct_return,GWP,kg CO2-eq ha-1,CTS-MN,CT-MN,783.51,743.68,1.944,3.397,3,3,du_2021_MN_CT,Table 3,rain-fed,growing-season soil CH4+N2O only,,,110 kg N ha-1,AR4 CH4=25 N2O=298
du_dingxi_2016_2022_2021_HN_GWP,du_dingxi_2016_2022,10.3390/agronomy14092087,"Reducing Nitrogen Application Rates and Straw Mulching Can Alleviate Greenhouse Gas Emissions from Wheat Field Soil and Improve Soil Quality",2024,2021,China,"Anjiapo Village, Dingxi, Gansu",temperate semi-arid,wheat,spring wheat,previous-crop wheat straw incorporated at first plough,direct_return,GWP,kg CO2-eq ha-1,CTS-HN,CT-HN,1218.53,1046.05,12.857,9.254,3,3,du_2021_HN_CT,Table 3,rain-fed,growing-season soil CH4+N2O only,,,220 kg N ha-1,AR4 CH4=25 N2O=298
