effect_id,study_id,paper_doi,paper_title,publication_year,experiment_year,country,location,latitude,longitude,crop_core,season,residue_as_reported,pathway,outcome,outcome_unit,treatment_arm,control_arm,treatment_mean,control_mean,treatment_se,control_se,treatment_n,control_n,shared_control_group,source_locator,nitrogen_rate,system_boundary
huang_shangzhuang_2006_2013_yield_N0_wheat_2010_2011,huang_shangzhuang_2006_2013,10.5194/bg-10-7897-2013,"Net global warming potential and greenhouse gas intensity in a double-cropping cereal rotation as affected by nitrogen and straw management",2013,2010_2011,China,"Shangzhuang, Beijing",39.8,116.466667,wheat,winter_wheat,"wheat straw mulch; maize straw incorporated",direct_return,yield,Mg ha-1,SN0,N0,2.86,2.67,0.44,0.38,3,3,huang_N0_wheat_2010_2011_yield,Table 3,0 kg N ha-1,crop harvest
huang_shangzhuang_2006_2013_yield_N0_maize_2011,huang_shangzhuang_2006_2013,10.5194/bg-10-7897-2013,"Net global warming potential and greenhouse gas intensity in a double-cropping cereal rotation as affected by nitrogen and straw management",2013,2011,China,"Shangzhuang, Beijing",39.8,116.466667,maize,summer_maize,"wheat straw mulch; maize straw incorporated",direct_return,yield,Mg ha-1,SN0,N0,4.99,5.43,0.33,0.40,3,3,huang_N0_maize_2011_yield,Table 3,0 kg N ha-1,crop harvest
huang_shangzhuang_2006_2013_yield_N0_wheat_2011_2012,huang_shangzhuang_2006_2013,10.5194/bg-10-7897-2013,"Net global warming potential and greenhouse gas intensity in a double-cropping cereal rotation as affected by nitrogen and straw management",2013,2011_2012,China,"Shangzhuang, Beijing",39.8,116.466667,wheat,winter_wheat,"wheat straw mulch; maize straw incorporated",direct_return,yield,Mg ha-1,SN0,N0,2.50,2.39,0.36,0.31,3,3,huang_N0_wheat_2011_2012_yield,Table 3,0 kg N ha-1,crop harvest
huang_shangzhuang_2006_2013_yield_N0_maize_2012,huang_shangzhuang_2006_2013,10.5194/bg-10-7897-2013,"Net global warming potential and greenhouse gas intensity in a double-cropping cereal rotation as affected by nitrogen and straw management",2013,2012,China,"Shangzhuang, Beijing",39.8,116.466667,maize,summer_maize,"wheat straw mulch; maize straw incorporated",direct_return,yield,Mg ha-1,SN0,N0,4.48,3.94,0.59,0.35,3,3,huang_N0_maize_2012_yield,Table 3,0 kg N ha-1,crop harvest
huang_shangzhuang_2006_2013_yield_Ncon_wheat_2010_2011,huang_shangzhuang_2006_2013,10.5194/bg-10-7897-2013,"Net global warming potential and greenhouse gas intensity in a double-cropping cereal rotation as affected by nitrogen and straw management",2013,2010_2011,China,"Shangzhuang, Beijing",39.8,116.466667,wheat,winter_wheat,"wheat straw mulch; maize straw incorporated",direct_return,yield,Mg ha-1,SNcon,Ncon,5.65,5.51,0.80,0.11,3,3,huang_Ncon_wheat_2010_2011_yield,Table 3,300 kg N ha-1,crop harvest
huang_shangzhuang_2006_2013_yield_Ncon_maize_2011,huang_shangzhuang_2006_2013,10.5194/bg-10-7897-2013,"Net global warming potential and greenhouse gas intensity in a double-cropping cereal rotation as affected by nitrogen and straw management",2013,2011,China,"Shangzhuang, Beijing",39.8,116.466667,maize,summer_maize,"wheat straw mulch; maize straw incorporated",direct_return,yield,Mg ha-1,SNcon,Ncon,7.85,6.49,0.27,1.11,3,3,huang_Ncon_maize_2011_yield,Table 3,260 kg N ha-1,crop harvest
huang_shangzhuang_2006_2013_yield_Ncon_wheat_2011_2012,huang_shangzhuang_2006_2013,10.5194/bg-10-7897-2013,"Net global warming potential and greenhouse gas intensity in a double-cropping cereal rotation as affected by nitrogen and straw management",2013,2011_2012,China,"Shangzhuang, Beijing",39.8,116.466667,wheat,winter_wheat,"wheat straw mulch; maize straw incorporated",direct_return,yield,Mg ha-1,SNcon,Ncon,4.58,4.53,0.41,0.42,3,3,huang_Ncon_wheat_2011_2012_yield,Table 3,300 kg N ha-1,crop harvest
huang_shangzhuang_2006_2013_yield_Ncon_maize_2012,huang_shangzhuang_2006_2013,10.5194/bg-10-7897-2013,"Net global warming potential and greenhouse gas intensity in a double-cropping cereal rotation as affected by nitrogen and straw management",2013,2012,China,"Shangzhuang, Beijing",39.8,116.466667,maize,summer_maize,"wheat straw mulch; maize straw incorporated",direct_return,yield,Mg ha-1,SNcon,Ncon,7.30,7.29,0.26,0.36,3,3,huang_Ncon_maize_2012_yield,Table 3,260 kg N ha-1,crop harvest
huang_shangzhuang_2006_2013_N2O_N0_maize_2011,huang_shangzhuang_2006_2013,10.5194/bg-10-7897-2013,"Net global warming potential and greenhouse gas intensity in a double-cropping cereal rotation as affected by nitrogen and straw management",2013,2011,China,"Shangzhuang, Beijing",39.8,116.466667,maize,summer_maize,"wheat straw mulch; maize straw incorporated",direct_return,N2O,kg N2O-N ha-1,SN0,N0,0.20,0.09,0.15,0.02,3,3,huang_N0_maize_2011_N2O,Table 5,0 kg N ha-1,seasonal soil flux
huang_shangzhuang_2006_2013_N2O_N0_wheat_2011_2012,huang_shangzhuang_2006_2013,10.5194/bg-10-7897-2013,"Net global warming potential and greenhouse gas intensity in a double-cropping cereal rotation as affected by nitrogen and straw management",2013,2011_2012,China,"Shangzhuang, Beijing",39.8,116.466667,wheat,winter_wheat,"wheat straw mulch; maize straw incorporated",direct_return,N2O,kg N2O-N ha-1,SN0,N0,0.34,0.11,0.11,0.02,3,3,huang_N0_wheat_2011_2012_N2O,Table 5,0 kg N ha-1,seasonal soil flux
