effect_id,study_id,paper_doi,paper_title,publication_year,experiment_year,country,location,latitude,longitude,crop_core,season,residue_as_reported,pathway,outcome,outcome_unit,treatment_arm,control_arm,treatment_mean,control_mean,treatment_se,control_se,treatment_n,control_n,shared_control_group,source_locator,water_regime,system_boundary,soc_measure,soil_depth
jijnasa_k22_burn_yield,jijnasa_bhubaneswar_2022_2024,10.14719/pst.9983,Comparative assessment of establishment methods and residue management on yield and profitability in rice-rice cropping system,2025,Kharif_2022,India,"OUAT Bhubaneswar, Odisha",20.25,85.866667,rice,Kharif_wet,rice straw,open_burning,yield,t ha-1 rice grain,S2: in-field rice straw burning,S1: complete rice straw removal,4.688,4.541,0.1085,0.1085,3,3,jijnasa_Kharif_2022_S1,Table 2,rice-rice system,crop harvest; combustion emissions excluded,,
jijnasa_k22_return_yield,jijnasa_bhubaneswar_2022_2024,10.14719/pst.9983,Comparative assessment of establishment methods and residue management on yield and profitability in rice-rice cropping system,2025,Kharif_2022,India,"OUAT Bhubaneswar, Odisha",20.25,85.866667,rice,Kharif_wet,rice straw,direct_return,yield,t ha-1 rice grain,S3: in-situ rice straw incorporation,S1: complete rice straw removal,5.273,4.541,0.1085,0.1085,3,3,jijnasa_Kharif_2022_S1,Table 2,rice-rice system,crop harvest,,
jijnasa_k22_biochar_yield,jijnasa_bhubaneswar_2022_2024,10.14719/pst.9983,Comparative assessment of establishment methods and residue management on yield and profitability in rice-rice cropping system,2025,Kharif_2022,India,"OUAT Bhubaneswar, Odisha",20.25,85.866667,rice,Kharif_wet,rice straw,biochar_return,yield,t ha-1 rice grain,S4: rice-straw biochar produced off-field and returned,S1: complete rice straw removal,5.055,4.541,0.1085,0.1085,3,3,jijnasa_Kharif_2022_S1,Table 2,rice-rice system,crop harvest,,
jijnasa_k23_burn_yield,jijnasa_bhubaneswar_2022_2024,10.14719/pst.9983,Comparative assessment of establishment methods and residue management on yield and profitability in rice-rice cropping system,2025,Kharif_2023,India,"OUAT Bhubaneswar, Odisha",20.25,85.866667,rice,Kharif_wet,rice straw,open_burning,yield,t ha-1 rice grain,S2: in-field rice straw burning,S1: complete rice straw removal,5.012,4.878,0.1237,0.1237,3,3,jijnasa_Kharif_2023_S1,Table 2,rice-rice system,crop harvest; combustion emissions excluded,,
jijnasa_k23_return_yield,jijnasa_bhubaneswar_2022_2024,10.14719/pst.9983,Comparative assessment of establishment methods and residue management on yield and profitability in rice-rice cropping system,2025,Kharif_2023,India,"OUAT Bhubaneswar, Odisha",20.25,85.866667,rice,Kharif_wet,rice straw,direct_return,yield,t ha-1 rice grain,S3: in-situ rice straw incorporation,S1: complete rice straw removal,5.486,4.878,0.1237,0.1237,3,3,jijnasa_Kharif_2023_S1,Table 2,rice-rice system,crop harvest,,
jijnasa_k23_biochar_yield,jijnasa_bhubaneswar_2022_2024,10.14719/pst.9983,Comparative assessment of establishment methods and residue management on yield and profitability in rice-rice cropping system,2025,Kharif_2023,India,"OUAT Bhubaneswar, Odisha",20.25,85.866667,rice,Kharif_wet,rice straw,biochar_return,yield,t ha-1 rice grain,S4: rice-straw biochar produced off-field and returned,S1: complete rice straw removal,5.306,4.878,0.1237,0.1237,3,3,jijnasa_Kharif_2023_S1,Table 2,rice-rice system,crop harvest,,
jijnasa_r23_burn_yield,jijnasa_bhubaneswar_2022_2024,10.14719/pst.9983,Comparative assessment of establishment methods and residue management on yield and profitability in rice-rice cropping system,2025,Rabi_2023,India,"OUAT Bhubaneswar, Odisha",20.25,85.866667,rice,Rabi_dry,rice straw,open_burning,yield,t ha-1 rice grain,S2: in-field rice straw burning,S1: complete rice straw removal,3.870,3.718,0.0898,0.0898,3,3,jijnasa_Rabi_2023_S1,Table 2,rice-rice system,crop harvest; combustion emissions excluded,,
jijnasa_r23_return_yield,jijnasa_bhubaneswar_2022_2024,10.14719/pst.9983,Comparative assessment of establishment methods and residue management on yield and profitability in rice-rice cropping system,2025,Rabi_2023,India,"OUAT Bhubaneswar, Odisha",20.25,85.866667,rice,Rabi_dry,rice straw,direct_return,yield,t ha-1 rice grain,S3: in-situ rice straw incorporation,S1: complete rice straw removal,4.172,3.718,0.0898,0.0898,3,3,jijnasa_Rabi_2023_S1,Table 2,rice-rice system,crop harvest,,
jijnasa_r23_biochar_yield,jijnasa_bhubaneswar_2022_2024,10.14719/pst.9983,Comparative assessment of establishment methods and residue management on yield and profitability in rice-rice cropping system,2025,Rabi_2023,India,"OUAT Bhubaneswar, Odisha",20.25,85.866667,rice,Rabi_dry,rice straw,biochar_return,yield,t ha-1 rice grain,S4: rice-straw biochar produced off-field and returned,S1: complete rice straw removal,4.028,3.718,0.0898,0.0898,3,3,jijnasa_Rabi_2023_S1,Table 2,rice-rice system,crop harvest,,
jijnasa_r24_burn_yield,jijnasa_bhubaneswar_2022_2024,10.14719/pst.9983,Comparative assessment of establishment methods and residue management on yield and profitability in rice-rice cropping system,2025,Rabi_2024,India,"OUAT Bhubaneswar, Odisha",20.25,85.866667,rice,Rabi_dry,rice straw,open_burning,yield,t ha-1 rice grain,S2: in-field rice straw burning,S1: complete rice straw removal,3.939,3.758,0.0868,0.0868,3,3,jijnasa_Rabi_2024_S1,Table 2,rice-rice system,crop harvest; combustion emissions excluded,,
