effect_id,study_id,paper_doi,paper_title,publication_year,experiment_year,country,location,latitude,longitude,crop_core,residue_as_reported,pathway,outcome,outcome_unit,treatment_arm,control_arm,treatment_mean,control_mean,treatment_se,control_se,treatment_n,control_n,shared_control_group,source_locator,soil_depth,water_regime,system_boundary
rice_primary_53_2011_direct_yield,rice_primary_53,10.1007/s11356-015-5227-7,"Greenhouse gas emissions, soil quality, and crop productivity from a mono-rice cultivation system as influenced by fallow season straw management",2016,2011,China,,,,rice,rice straw,direct_return,yield,t ha-1,NPK+RSM,NPK,9.02,8.57,0.19,0.16,3,3,study53_2011_NPK,Table 2,,flooding-midseason drainage-reflooding-intermittent,crop harvest
rice_primary_53_2011_direct_SOC,rice_primary_53,10.1007/s11356-015-5227-7,"Greenhouse gas emissions, soil quality, and crop productivity from a mono-rice cultivation system as influenced by fallow season straw management",2016,2011,China,,,,rice,rice straw,direct_return,SOC,g kg-1,NPK+RSM,NPK,19.20,18.84,0.16,0.14,3,3,study53_2011_NPK,Table 2,0-20 cm,flooding-midseason drainage-reflooding-intermittent,soil concentration
rice_primary_53_2012_direct_yield,rice_primary_53,10.1007/s11356-015-5227-7,"Greenhouse gas emissions, soil quality, and crop productivity from a mono-rice cultivation system as influenced by fallow season straw management",2016,2012,China,,,,rice,rice straw,direct_return,yield,t ha-1,NPK+RSM,NPK,8.79,8.46,0.14,0.29,3,3,study53_2012_NPK,Table 2,,flooding-midseason drainage-reflooding-intermittent,crop harvest
rice_primary_53_2012_direct_SOC,rice_primary_53,10.1007/s11356-015-5227-7,"Greenhouse gas emissions, soil quality, and crop productivity from a mono-rice cultivation system as influenced by fallow season straw management",2016,2012,China,,,,rice,rice straw,direct_return,SOC,g kg-1,NPK+RSM,NPK,19.65,19.00,0.29,0.05,3,3,study53_2012_NPK,Table 2,0-20 cm,flooding-midseason drainage-reflooding-intermittent,soil concentration
rice_primary_53_2013_direct_yield,rice_primary_53,10.1007/s11356-015-5227-7,"Greenhouse gas emissions, soil quality, and crop productivity from a mono-rice cultivation system as influenced by fallow season straw management",2016,2013,China,,,,rice,rice straw,direct_return,yield,t ha-1,NPK+RSM,NPK,9.12,8.70,0.13,0.20,3,3,study53_2013_NPK,Table 2,,flooding-midseason drainage-reflooding-intermittent,crop harvest
rice_primary_53_2013_direct_SOC,rice_primary_53,10.1007/s11356-015-5227-7,"Greenhouse gas emissions, soil quality, and crop productivity from a mono-rice cultivation system as influenced by fallow season straw management",2016,2013,China,,,,rice,rice straw,direct_return,SOC,g kg-1,NPK+RSM,NPK,19.69,19.06,0.17,0.10,3,3,study53_2013_NPK,Table 2,0-20 cm,flooding-midseason drainage-reflooding-intermittent,soil concentration
rice_primary_53_2011_2012_direct_CH4,rice_primary_53,10.1007/s11356-015-5227-7,"Greenhouse gas emissions, soil quality, and crop productivity from a mono-rice cultivation system as influenced by fallow season straw management",2016,2011_2012,China,,,,rice,rice straw,direct_return,CH4,kg CH4-C ha-1 yr-1,NPK+RSM,NPK,259.28,102.61,15.89,12.65,3,3,study53_2011_2012_NPK,Table 3,,flooding-midseason drainage-reflooding-intermittent,annual soil flux including winter fallow
rice_primary_53_2011_2012_direct_N2O,rice_primary_53,10.1007/s11356-015-5227-7,"Greenhouse gas emissions, soil quality, and crop productivity from a mono-rice cultivation system as influenced by fallow season straw management",2016,2011_2012,China,,,,rice,rice straw,direct_return,N2O,kg N2O-N ha-1 yr-1,NPK+RSM,NPK,1.66,1.19,0.06,0.04,3,3,study53_2011_2012_NPK,Table 3,,flooding-midseason drainage-reflooding-intermittent,annual soil flux including winter fallow
rice_primary_53_2012_2013_direct_CH4,rice_primary_53,10.1007/s11356-015-5227-7,"Greenhouse gas emissions, soil quality, and crop productivity from a mono-rice cultivation system as influenced by fallow season straw management",2016,2012_2013,China,,,,rice,rice straw,direct_return,CH4,kg CH4-C ha-1 yr-1,NPK+RSM,NPK,528.84,116.40,29.68,15.39,3,3,study53_2012_2013_NPK,Table 3,,flooding-midseason drainage-reflooding-intermittent,annual soil flux including winter fallow
rice_primary_53_2012_2013_direct_N2O,rice_primary_53,10.1007/s11356-015-5227-7,"Greenhouse gas emissions, soil quality, and crop productivity from a mono-rice cultivation system as influenced by fallow season straw management",2016,2012_2013,China,,,,rice,rice straw,direct_return,N2O,kg N2O-N ha-1 yr-1,NPK+RSM,NPK,0.73,0.43,0.05,0.06,3,3,study53_2012_2013_NPK,Table 3,,flooding-midseason drainage-reflooding-intermittent,annual soil flux including winter fallow
